category,name,carbon,water,waste,alternatives
Food,Rice (1kg),20.85,266,565,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Groceries,Shampoo,50.07,2675,603,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Food,Bread,91.98,4722,221,Eco Bread;Sustainable Bread;Recycled Bread
Clothing,Sweater,64.82,3494,207,Eco Sweater;Sustainable Sweater;Recycled Sweater
Electronics,Smartphone,93.36,1361,272,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Groceries,Toothpaste,19.86,1724,813,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Electronics,Tablet,84.07,1815,677,Eco Tablet;Sustainable Tablet;Recycled Tablet
Clothing,Cotton T-shirt,31.62,4987,693,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Home Goods,Mattress,68.54,4460,413,Eco Mattress;Sustainable Mattress;Recycled Mattress
Groceries,Tissue Paper,63.68,4505,298,Eco Tissue Paper;Sustainable Tissue Paper;Recycled Tissue Paper
Groceries,Detergent,94.11,3233,896,Eco Detergent;Sustainable Detergent;Recycled Detergent
Clothing,Jacket,91.21,1256,476,Eco Jacket;Sustainable Jacket;Recycled Jacket
Electronics,Smartwatch,93.33,4342,378,Eco Smartwatch;Sustainable Smartwatch;Recycled Smartwatch
Groceries,Shampoo,2.6,4437,796,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Clothing,Jacket,50.03,4829,152,Eco Jacket;Sustainable Jacket;Recycled Jacket
Groceries,Toothpaste,29.84,2942,562,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Home Goods,Chair,59.99,1949,805,Eco Chair;Sustainable Chair;Recycled Chair
Food,Rice (1kg),26.3,3961,790,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Home Goods,Mattress,34.53,3626,930,Eco Mattress;Sustainable Mattress;Recycled Mattress
Home Goods,Table,86.01,658,540,Eco Table;Sustainable Table;Recycled Table
Clothing,Sweater,8.31,4200,636,Eco Sweater;Sustainable Sweater;Recycled Sweater
Clothing,Sweater,38.97,2303,460,Eco Sweater;Sustainable Sweater;Recycled Sweater
Food,Milk (1L),86.1,4824,175,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Clothing,Sweater,16.71,4573,133,Eco Sweater;Sustainable Sweater;Recycled Sweater
Groceries,Tissue Paper,94.19,2853,334,Eco Tissue Paper;Sustainable Tissue Paper;Recycled Tissue Paper
Home Goods,Pillow,26.67,2548,695,Eco Pillow;Sustainable Pillow;Recycled Pillow
Clothing,Jeans,52.27,1454,406,Eco Jeans;Sustainable Jeans;Recycled Jeans
Food,Milk (1L),3.76,483,37,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Electronics,Tablet,24.66,928,854,Eco Tablet;Sustainable Tablet;Recycled Tablet
Home Goods,Lamp,74.5,668,562,Eco Lamp;Sustainable Lamp;Recycled Lamp
